mode,n,trials,mean_convergence_ms,std_convergence_ms,mean_overhead_sends,std_overhead_sends,mean_delivery_rate,std_delivery_rate,mean_total_sends,std_total_sends
hybrid,10,5,98.2,22.57653649256236,30.4,3.646916505762094,0.9400000000000001,0.0547722557505166,124.2,6.6105975524153635
hybrid,20,5,135.8,25.645662401271682,82.2,10.401922899156675,0.98,0.02738612787525833,258.4,23.628372775119324
hybrid,50,5,220.4,46.90735549996397,209.8,46.996808402273444,0.984,0.021908902300206663,625.8,64.95536929307691
push,10,5,89,15.231546211727817,40.2,8.955445270895245,0.92,0.04472135954999579,146.8,8.318653737234168
push,20,5,145,34.48187929913333,102.8,17.42699056062176,0.98,0.02738612787525833,282,19.78635893740938
push,50,5,193.4,25.65735761920935,304.8,41.08162606324146,0.988,0.017888543819998333,735.4,41.47047142244708
